,Modelos,Acc OPF-Style (mean),Acc OPF-Style (std),Accuracy (mean),Accuracy (std),F1 score (mean),F1 score (std),Tempo Treino (mean),Tempo Treino (std),Tempo Teste (mean),Tempo Teste (std)
0,OPF,0.9033380908544858,0.030477139164591646,0.9974401083074701,0.0005293330374634626,0.6967920785954526,0.055000584744687976,94.91548902997746,3.9324742860509727,73.12206782004796,6.557036562761122
1,SVM,0.8790630928547157,0.0426559964505398,0.9959350709140511,0.0015645336125790367,0.6673834600577366,0.08904393953147238,0.5530089299893006,0.2953481450145928,0.35413696998730304,0.07967818937471782
2,KNN,0.8746575928637661,0.03573038884567269,0.9960898300702009,0.0009068892528717344,0.6333595959730325,0.06420127283789762,0.0038645999506115914,0.00014301941822272222,0.1630369200371206,0.023528047761863683
