,Modelos,Acc OPF-Style (mean),Acc OPF-Style (std),Accuracy (mean),Accuracy (std),F1 score (mean),F1 score (std),Tempo Treino (mean),Tempo Treino (std),Tempo Teste (mean),Tempo Teste (std)
0,OPF,0.8883319259390594,0.07806497669788919,0.9986726861571453,0.00042030274210539157,0.699335061366886,0.16199584879822237,33.44985960999038,5.897602330716998,21.101793919992634,4.664979284905365
1,SVM,0.8501533236145267,0.08607028775128713,0.9986051996536869,0.00053994516386367,0.6396790559051089,0.16424606506293035,0.08253346995916218,0.06854766433908774,0.06694318999070674,0.04648276526388201
2,KNN,0.8287369651335424,0.08350765630853903,0.9982227424001149,0.0007216900738717586,0.5827916212624263,0.13524092341127714,0.002436279971152544,0.00037714761714862066,0.054813890065997836,0.005995399446236652
